City,Population,Classification,Political Stance
Calgary,1481806,large,Conservative
Moose River Gold Mines,390096,large,Liberal
Sidney,12318,small,Green
Ottawa,1488307,large,Liberal
Mississauga,717599,large,Liberal
Toronto,6202225,large,Liberal
Alberta Beach,864,rural,Conservative
Brampton,656480,large,Liberal
Moncton,157717,large,Liberal
Spruce Grove,37645,medium,Conservative
Vancouver,2642825,large,Liberal
Abbotsford,195726,large,Conservative
Winnipeg,834678,large,Liberal
Edmonton,1418118,large,Conservative
Vernon,67086,medium,Conservative
Trail,14268,small,NDP
Lethbridge,123847,large,Conservative
Surrey,568322,large,Conservative
Strathroy,23871,small,Conservative
Halifax,465703,large,Liberal
North York,869401,large,Liberal
Burnaby,249125,large,Liberal
Montréal,4291732,large,Liberal
Brossard,91525,medium,Liberal
Oshawa,415311,large,Conservative
St. John's,212579,large,Liberal
St. Catharines,433604,large,Liberal
Chatham-Kent,104316,large,Conservative
Antigonish,20129,small,Liberal
Lakefield,2943,small,Conservative
Picton,4508,small,Conservative
Chalk River,1061,small,Conservative
Timmins,41145,medium,NDP
Boucherville,41743,medium,Bloc
Stratford,33232,medium,Conservative
Kanata,137118,large,Liberal
Windsor,422630,large,NDP Liberal
Esquimalt,17533,small,NDP
Nanticoke,49216,medium,Conservative
Charlottetown,78858,medium,Liberal
Acheson,32205,medium,NDP
Joe Batts Arm,2117,small,Conservative
St. Thomas,42840,medium,Conservative
Puslinch,7944,small,Conservative
Cornwall,61415,medium,Conservative
Pickering,99186,medium,Liberal
Fort Smith,2248,small,Liberal
Langley,132603,large,Conservative
New Glasgow,34397,medium,Liberal
Bedford,2558,small,Liberal
Drayton Valley,7291,small,Conservative
Vanier,118806,large,Liberal
Dartmouth,96165,medium,Liberal
Hall,1000,small,Conservative
Etobicoke,118483,large,Liberal
Parkland County,32205,medium,Conservative
Saint-Laurent,102104,large,Liberal
Richmond Hill,202022,large,Liberal
Lower Mainland,3049496,large,Liberal
Markham,338503,large,Liberal
Kelowna,144576,large,Conservative
Stony Plain,17993,small,Conservative
Scarborough,113104,large,Liberal
Prince Albert,45718,medium,Conservative
Saskatoon,317480,large,Conservative
New Westminster,78916,medium,NDP
Richmond,209937,large,Liberal
Squamish,24232,small,Conservative
Grande Prairie,64141,medium,Conservative
Fredericton,108610,large,Liberal
Kitchener,256885,large,Liberal
Regina,249217,large,Conservative
Leduc,34094,medium,Conservative
Guelph,165588,large,Liberal
Courtenay,63282,medium,NDP
Vegreville,5689,small,Conservative
Coquitlam,148625,large,Liberal
Victoria,397237,large,NDP
Delta,108455,large,Liberal
Whitehorse,31913,medium,Liberal
Drummondville,101610,large,Bloc
St. Albert,68232,medium,Conservative
London,543551,large,Liberal
Hamilton,785184,large,Liberal
Camrose,18772,small,Conservative
Swift Current,18745,small,Conservative
Leamington,29680,small,Conservative
Burlington,186948,large,Liberal
Canmore,15990,small,Conservative
Unity,2496,small,Conservative
Athabasca County,6959,small,Conservative
Red Deer,100844,large,Conservative
Vaughan,323103,large,Liberal
Waterloo,121436,large,Liberal
West Kelowna,36078,medium,Conservative
Penticton,47380,medium,NDP Conservative
Kingston,172546,large,Liberal
Kamloops,114142,large,Conservative
Sainte-Anne-de-Bellevue,11638,small,Liberal
Nanaimo,99863,medium,NDP
Oakville,213759,large,Liberal
Sudbury,170605,large,Liberal
St. Brieux,638,rural,Conservative
Sault Ste. Marie,76731,medium,Liberal
Port Coquitlam,61498,medium,NDP Liberal
